id,name,description,mrp,price,images,category,stock,inStock,storeId,createdAt,updatedAt,hasSizes,sizes
cmppt7eh5000105dosb5h6frt,MONG DHOHA 1KG,MONG DHOHA 1KG - Premium Quality Product,160.0,122.0,"[""https://m.media-amazon.com/images/I/71Yb-yvK2XL.jpg""]",Staples & Cooking,115,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:17.129,2026-05-28 18:11:17.129,False,
cmppt7ehi000305doguwd8mhu,MOONG DAAL CHILKA 1KG,MOONG DAAL CHILKA 1KG - Premium Quality Product,170.0,118.0,"[""https://m.media-amazon.com/images/I/71Yb-yvK2XL.jpg""]",Staples & Cooking,108,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:17.142,2026-05-28 18:11:17.142,False,
cmppt7ehl000505dovihgr7re,CHANA DAL 1 KG,CHANA DAL 1 KG - Premium Quality Product,100.0,85.0,"[""https://m.media-amazon.com/images/I/61aB4oiy9NL.jpg""]",Staples & Cooking,1280,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:17.146,2026-05-28 18:11:17.146,False,
cmppt7ehp000705do5syz7ix5,SUGAR 2 FILTER 1 KG,SUGAR 2 FILTER 1 KG - Premium Quality Product,50.0,46.0,"[""https://image.cdn.shpy.in/22879/sugar-double-filter-1kg-1722256024085_SKU-2196_0.webp?width=1200&format=webp""]",Food & Grocery,1932,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:17.15,2026-05-28 18:11:17.15,False,
cmppt7eht000905do6jx5acfy,MONG DAAL CHILKA 500G,MONG DAAL CHILKA 500G - Premium Quality Product,90.0,62.0,"[""https://m.media-amazon.com/images/I/71Yb-yvK2XL.jpg""]",Staples & Cooking,385,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:17.153,2026-05-28 18:11:17.153,False,
cmppt7gbr000b05dokuk3im0f,santoorfres skin,santoorfres skin - Premium Quality Product,230.0,225.0,"[""https://m.media-amazon.com/images/I/61wqCxvXxTL.jpg""]",Personal Care,640,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:19.527,2026-05-28 18:11:19.527,False,
cmppt7gbx000d05dokhdc46v6,CHANA 1KG,CHANA 1KG - Premium Quality Product,130.0,85.0,"[""https://m.media-amazon.com/images/I/61MItv6Ss2L.jpg""]",Staples & Cooking,76,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:19.533,2026-05-28 18:11:19.533,False,
cmppt7gc1000f05do21u2xjrx,CHANA 500 GRM,CHANA 500 GRM - Premium Quality Product,70.0,45.0,"[""https://m.media-amazon.com/images/I/61aB4oiy9NL.jpg""]",Staples & Cooking,120,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:19.537,2026-05-28 18:11:19.537,False,
cmppt7gc7000h05dowmnyw3o9,CHANA DAL 500 GM,CHANA DAL 500 GM - Premium Quality Product,60.0,45.0,"[""https://m.media-amazon.com/images/I/81GsmKrqSXL.jpg""]",Staples & Cooking,240,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:19.544,2026-05-28 18:11:19.544,False,
cmppt7gce000j05donkhz6m4x,TAJ MAHAL TEA 500 G,TAJ MAHAL TEA 500 G - Premium Quality Product,360.0,350.0,"[""https://m.media-amazon.com/images/I/61c7WyehzRL.jpg""]",Food & Grocery,1205,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:19.55,2026-05-28 18:11:19.55,False,
cmppt7i3h000l05dolvki1mp0,BIOTIQUE,BIOTIQUE - Premium Quality Product,275.0,206.0,"[""https://m.media-amazon.com/images/I/51EIEe2npaL.jpg""]",Personal Care,1242,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:21.821,2026-05-28 18:11:21.821,False,
cmppt7i3v000n05dojgqalqf6,BIOTIQUE FREASH NEEM FACEWASH,BIOTIQUE FREASH NEEM FACEWASH - Premium Quality Product,225.0,158.0,"[""https://m.media-amazon.com/images/I/51quA0fS0yL.jpg""]",Personal Care,678,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:21.835,2026-05-28 18:11:21.835,False,
cmppt7i3x000p05do4ykhmx24,BIOTIQUE BHRINGRAJ ANTI HAIR FALL,BIOTIQUE BHRINGRAJ ANTI HAIR FALL - Premium Quality Product,240.0,160.0,"[""https://m.media-amazon.com/images/I/514R3CJYTdL.jpg""]",Personal Care,3190,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:21.837,2026-05-28 18:11:21.837,False,
cmppt7i3z000r05don4mrh95z,PLAM NIACINAMIDE FACE SERUM,PLAM NIACINAMIDE FACE SERUM - Premium Quality Product,599.0,515.0,"[""https://m.media-amazon.com/images/I/51G7Il-vTWL.jpg""]",Personal Care,405,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:21.84,2026-05-28 18:11:21.84,False,
cmppt7i42000t05do6dvfk0mh,URAD DHOA 1 KG,URAD DHOA 1 KG - Premium Quality Product,132.0,115.0,"[""https://m.media-amazon.com/images/I/71eUQaNgU9L.jpg""]",Staples & Cooking,1272,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:21.842,2026-05-28 18:11:21.842,False,
cmppt7jv0000v05doleu0r4ch,BOROPLUS ANTISEPTIC CREAM,BOROPLUS ANTISEPTIC CREAM - Premium Quality Product,90.0,85.0,"[""https://m.media-amazon.com/images/I/518l8rweMrL.jpg""]",Personal Care,370,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:24.109,2026-05-28 18:11:24.109,False,
cmppt7jv3000x05do3926e63n,COLGATE HERBAL 100G,COLGATE HERBAL 100G - Premium Quality Product,93.0,77.0,"[""https://m.media-amazon.com/images/I/61wxTQj9b-L.jpg""]",Personal Care,612,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:24.111,2026-05-28 18:11:24.111,False,
cmppt7jv6000z05dozig4exi3,BOROPLUS SOFT CREAM,BOROPLUS SOFT CREAM - Premium Quality Product,380.0,301.0,"[""https://m.media-amazon.com/images/I/51qu97DFTjL.jpg""]",Personal Care,1210,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:24.114,2026-05-28 18:11:24.114,False,
cmppt7jvj001105domr312q72,CLOSEUP TOOTHPASTE,CLOSEUP TOOTHPASTE - Premium Quality Product,94.0,94.0,"[""https://m.media-amazon.com/images/I/61E+SP2+WsL.jpg""]",Personal Care,846,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:24.127,2026-05-28 18:11:24.127,False,
cmppt7jvl001305dowmu9wjn1,COLGATE DENTAL CREAM 100G,COLGATE DENTAL CREAM 100G - Premium Quality Product,70.0,67.0,"[""https://m.media-amazon.com/images/I/51+joDIObdL.jpg""]",Personal Care,1054,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:24.13,2026-05-28 18:11:24.13,False,
cmppt7lmk001505dotncrhm7r,DABUR RED TOOTHPASTE 800G,DABUR RED TOOTHPASTE 800G - Premium Quality Product,576.0,497.0,"[""https://m.media-amazon.com/images/I/81APBzS5IYL.jpg""]",Personal Care,2919,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:26.396,2026-05-28 18:11:26.396,False,
cmppt7ln1001705dour4x9w5m,COLGATE VEDSHAKTI 200G,COLGATE VEDSHAKTI 200G - Premium Quality Product,175.0,163.0,"[""https://m.media-amazon.com/images/I/61wxTQj9b-L.jpg""]",Personal Care,572,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:26.413,2026-05-28 18:11:26.413,False,
cmppt7ln4001905dohk28cvpv,himalaya purifyng neem face wash 150 ml,himalaya purifyng neem face wash 150 ml - Premium Quality Product,279.0,248.0,"[""https://m.media-amazon.com/images/I/518N3l4z1-L.jpg""]",Personal Care,1890,True,cmppsv2w20001ih04ipwtge32,2026-05-28 18:11:26.416,2026-05-28 18:11:26.416,False,
